,Product,Sensor 8 in,Sensor 8 out,Sensor 7 in,Sensor 7 out,Sensor 6 in,Sensor 6 out,Sensor 5 in,Sensor 5 out,Sensor 4 in,Sensor 4 out,Sensor 3 in,Sensor 3 out,Sensor 2 in,Sensor 2 out,Sensor 1 in,Sensor 1 out
0,1,2022-11-04 06:54:05.780,2022-11-04 06:57:04.790,2022-11-04 06:54:08.200,2022-11-04 06:57:06.670,2022-11-04 06:54:09.650,2022-11-04 06:57:08.690,2022-11-04 06:54:09.830,2022-11-04 06:57:08.690,2022-11-04 06:55:15.540,2022-11-04 06:58:14.620,2022-11-04 06:58:23.140,2022-11-04 06:58:35.330,2022-11-04 06:52:57.070,2022-11-04 06:53:03.000,2022-11-04 06:58:37.360,2022-11-04 06:58:42.020
1,2,2022-11-04 07:00:15.970,2022-11-04 07:03:12.800,2022-11-04 07:00:17.630,2022-11-04 07:03:15.270,2022-11-04 07:00:19.170,2022-11-04 07:03:17.960,2022-11-04 07:00:19.380,2022-11-04 07:03:17.960,2022-11-04 07:01:24.910,2022-11-04 07:04:22.650,2022-11-04 07:04:31.340,2022-11-04 07:04:43.970,2022-11-04 06:58:51.680,2022-11-04 06:59:15.150,2022-11-04 07:04:47.210,2022-11-04 07:04:51.740
2,3,2022-11-04 07:06:23.360,2022-11-04 07:09:18.500,2022-11-04 07:06:22.620,2022-11-04 07:09:21.250,2022-11-04 07:06:27.070,2022-11-04 07:09:22.240,2022-11-04 07:06:27.070,2022-11-04 07:09:22.700,2022-11-04 07:07:29.770,2022-11-04 07:10:28.830,2022-11-04 07:10:37.150,2022-11-04 07:10:49.100,2022-11-04 07:04:59.890,2022-11-04 07:05:23.670,2022-11-04 07:10:51.860,2022-11-04 07:10:55.720
3,4,2022-11-04 07:12:28.100,2022-11-04 07:15:26.280,2022-11-04 07:12:28.990,2022-11-04 07:15:28.200,2022-11-04 07:12:32.180,2022-11-04 07:15:30.410,2022-11-04 07:12:32.180,2022-11-04 07:15:30.410,2022-11-04 07:13:36.140,2022-11-04 07:16:36.430,2022-11-04 07:16:46.410,2022-11-04 07:16:58.100,2022-11-04 07:11:05.560,2022-11-04 07:11:29.390,2022-11-04 07:16:59.540,2022-11-04 07:16:59.580
4,5,2022-11-04 07:18:39.430,2022-11-04 07:21:38.900,2022-11-04 07:18:40.320,2022-11-04 07:21:39.470,2022-11-04 07:18:43.270,2022-11-04 07:21:42.710,2022-11-04 07:18:43.270,2022-11-04 07:21:42.710,2022-11-04 07:19:48.370,2022-11-04 07:22:47.970,2022-11-04 07:22:58.330,2022-11-04 07:23:10.390,2022-11-04 07:17:14.510,2022-11-04 07:17:37.980,2022-11-04 07:16:59.790,2022-11-04 07:16:59.850
5,6,2022-11-04 07:24:52.360,2022-11-04 07:27:51.090,2022-11-04 07:24:52.890,2022-11-04 07:27:50.290,2022-11-04 07:24:56.350,2022-11-04 07:27:55.040,2022-11-04 07:24:56.350,2022-11-04 07:27:55.040,2022-11-04 07:22:48.800,2022-11-04 07:22:49.050,2022-11-04 07:29:08.910,2022-11-04 07:29:20.970,2022-11-04 07:23:26.900,2022-11-04 07:23:50.710,2022-11-04 07:16:59.880,2022-11-04 07:17:03.550
6,7,2022-11-04 07:30:56.780,2022-11-04 07:33:54.720,2022-11-04 07:31:01.880,2022-11-04 07:33:57.510,2022-11-04 07:31:01.030,2022-11-04 07:33:58.880,2022-11-04 07:31:01.570,2022-11-04 07:33:59.150,2022-11-04 07:25:59.940,2022-11-04 07:28:57.850,2022-11-04 07:35:13.830,2022-11-04 07:35:25.880,2022-11-04 07:29:37.490,2022-11-04 07:30:01.360,2022-11-04 07:23:12.040,2022-11-04 07:23:12.080
7,8,2022-11-04 07:35:02.830,2022-11-04 07:37:56.590,2022-11-04 07:35:03.680,2022-11-04 07:37:59.430,2022-11-04 07:35:06.750,2022-11-04 07:38:00.540,2022-11-04 07:35:06.750,2022-11-04 07:38:01.070,2022-11-04 07:32:06.750,2022-11-04 07:35:05.620,2022-11-04 07:39:16.560,2022-11-04 07:39:28.680,2022-11-04 07:35:42.420,2022-11-04 07:36:06.660,2022-11-04 07:23:12.110,2022-11-04 07:23:15.720
8,9,2022-11-04 07:38:05.500,2022-11-04 07:41:05.080,2022-11-04 07:38:07.690,2022-11-04 07:41:04.900,2022-11-04 07:38:10.110,2022-11-04 07:41:09.070,2022-11-04 07:38:10.110,2022-11-04 07:41:09.070,2022-11-04 07:36:12.790,2022-11-04 07:39:06.930,2022-11-04 07:42:21.230,2022-11-04 07:42:33.350,2022-11-04 07:39:45.170,2022-11-04 07:40:08.640,2022-11-04 07:29:25.940,2022-11-04 07:29:26.580
9,10,2022-11-04 07:41:13.360,2022-11-04 07:44:09.850,2022-11-04 07:41:14.140,2022-11-04 07:44:12.490,2022-11-04 07:41:17.310,2022-11-04 07:44:14.470,2022-11-04 07:41:17.310,2022-11-04 07:44:14.470,2022-11-04 07:39:07.560,2022-11-04 07:39:07.780,2022-11-04 07:45:28.980,2022-11-04 07:45:41.350,2022-11-04 07:42:50.000,2022-11-04 07:43:13.370,2022-11-04 07:35:27.290,2022-11-04 07:35:27.480
10,11,2022-11-04 07:44:19.600,2022-11-04 07:47:19.640,2022-11-04 07:44:21.300,2022-11-04 07:47:20.200,2022-11-04 07:44:24.030,2022-11-04 07:47:23.870,2022-11-04 07:44:24.030,2022-11-04 07:47:23.870,2022-11-04 07:39:15.050,2022-11-04 07:42:12.840,2022-11-04 07:48:35.350,2022-11-04 07:48:47.460,2022-11-04 07:45:57.440,2022-11-04 07:46:20.820,2022-11-04 07:35:27.500,2022-11-04 07:35:30.930
11,12,2022-11-04 07:47:28.740,2022-11-04 07:50:28.680,2022-11-04 07:47:28.130,2022-11-04 07:50:27.410,2022-11-04 07:47:29.480,2022-11-04 07:50:31.790,2022-11-04 07:47:32.970,2022-11-04 07:50:31.790,2022-11-04 07:42:21.360,2022-11-04 07:45:20.600,2022-11-04 07:51:42.880,2022-11-04 07:51:54.950,2022-11-04 07:49:03.890,2022-11-04 07:49:27.360,2022-11-04 07:39:30.320,2022-11-04 07:39:34.250
12,13,2022-11-04 07:50:36.100,2022-11-04 07:53:29.300,2022-11-04 07:50:35.920,2022-11-04 07:53:32.460,2022-11-04 07:50:37.370,2022-11-04 07:53:33.530,2022-11-04 07:50:40.770,2022-11-04 07:53:34.020,2022-11-04 07:45:28.970,2022-11-04 07:48:27.970,2022-11-04 07:54:48.350,2022-11-04 07:55:00.460,2022-11-04 07:52:11.180,2022-11-04 07:52:34.590,2022-11-04 07:42:35.260,2022-11-04 07:42:39.070
13,14,2022-11-04 07:53:37.750,2022-11-04 07:56:34.700,2022-11-04 07:53:41.080,2022-11-04 07:56:37.780,2022-11-04 07:53:42.000,2022-11-04 07:56:40.970,2022-11-04 07:53:42.520,2022-11-04 07:56:40.970,2022-11-04 07:48:35.090,2022-11-04 07:51:35.350,2022-11-04 07:57:53.630,2022-11-04 07:58:05.750,2022-11-04 07:55:16.900,2022-11-04 07:55:40.260,2022-11-04 07:45:43.310,2022-11-04 07:45:48.480
14,15,2022-11-04 07:56:45.180,2022-11-04 07:59:41.690,2022-11-04 07:56:46.110,2022-11-04 07:59:41.710,2022-11-04 07:56:49.090,2022-11-04 07:59:43.170,2022-11-04 07:56:49.090,2022-11-04 07:59:43.510,2022-11-04 07:51:43.480,2022-11-04 07:54:40.130,2022-11-04 08:00:58.740,2022-11-04 08:01:10.800,2022-11-04 07:58:22.170,2022-11-04 07:58:45.640,2022-11-04 07:48:48.940,2022-11-04 07:48:48.990
15,16,2022-11-04 07:59:51.600,2022-11-04 08:02:48.200,2022-11-04 07:59:52.600,2022-11-04 08:02:49.200,2022-11-04 07:59:56.100,2022-11-04 08:02:52.020,2022-11-04 07:59:56.100,2022-11-04 08:02:52.020,2022-11-04 07:54:40.570,2022-11-04 07:54:41.340,2022-11-04 08:04:05.270,2022-11-04 08:04:17.800,2022-11-04 08:01:26.940,2022-11-04 08:01:50.380,2022-11-04 07:48:49.020,2022-11-04 07:48:52.660
16,17,2022-11-04 08:04:55.440,2022-11-04 08:07:58.860,2022-11-04 08:04:58.050,2022-11-04 08:08:00.210,2022-11-04 08:04:59.750,2022-11-04 08:08:03.380,2022-11-04 08:04:59.750,2022-11-04 08:08:03.380,2022-11-04 07:54:48.110,2022-11-04 07:57:45.640,2022-11-04 08:09:33.540,2022-11-04 08:09:49.840,2022-11-04 08:04:34.130,2022-11-04 08:04:57.190,2022-11-04 07:48:52.740,2022-11-04 07:48:52.790
17,18,2022-11-04 08:08:29.990,2022-11-04 08:11:27.140,2022-11-04 08:08:31.450,2022-11-04 08:11:29.840,2022-11-04 08:08:34.620,2022-11-04 08:11:30.970,2022-11-04 08:08:34.620,2022-11-04 08:11:31.570,2022-11-04 07:57:53.230,2022-11-04 08:00:49.880,2022-11-04 08:12:46.590,2022-11-04 08:12:58.770,2022-11-04 08:10:05.260,2022-11-04 08:10:28.560,2022-11-04 07:51:56.870,2022-11-04 07:52:00.420
18,19,2022-11-04 08:11:36.860,2022-11-04 08:14:30.690,2022-11-04 08:11:38.430,2022-11-04 08:14:33.210,2022-11-04 08:11:40.120,2022-11-04 08:14:34.220,2022-11-04 08:11:40.120,2022-11-04 08:14:34.680,2022-11-04 08:01:00.130,2022-11-04 08:03:56.760,2022-11-04 08:15:49.390,2022-11-04 08:16:02.030,2022-11-04 08:13:14.980,2022-11-04 08:13:38.510,2022-11-04 07:55:02.390,2022-11-04 07:55:06.840
19,20,2022-11-04 08:14:45.200,2022-11-04 08:17:38.660,2022-11-04 08:14:44.420,2022-11-04 08:17:42.780,2022-11-04 08:14:45.830,2022-11-04 08:17:42.890,2022-11-04 08:14:46.410,2022-11-04 08:17:43.370,2022-11-04 08:06:05.510,2022-11-04 08:09:07.060,2022-11-04 08:18:57.010,2022-11-04 08:19:08.560,2022-11-04 08:16:17.750,2022-11-04 08:16:41.280,2022-11-04 07:58:08.080,2022-11-04 07:58:08.210
20,21,2022-11-04 08:17:47.090,2022-11-04 08:20:46.220,2022-11-04 08:17:50.320,2022-11-04 08:20:49.080,2022-11-04 08:17:51.070,2022-11-04 08:20:51.330,2022-11-04 08:17:51.610,2022-11-04 08:20:51.330,2022-11-04 08:09:26.950,2022-11-04 08:09:27.500,2022-11-04 08:22:05.500,2022-11-04 08:22:18.880,2022-11-04 08:19:24.850,2022-11-04 08:19:48.600,2022-11-04 07:58:08.250,2022-11-04 07:58:12.000
21,22,2022-11-04 08:20:57.420,2022-11-04 08:23:59.310,2022-11-04 08:20:58.610,2022-11-04 08:23:59.730,2022-11-04 08:20:59.530,2022-11-04 08:24:02.940,2022-11-04 08:21:00.120,2022-11-04 08:24:02.940,2022-11-04 08:09:27.660,2022-11-04 08:09:27.810,2022-11-04 08:25:14.520,2022-11-04 08:25:26.680,2022-11-04 08:22:35.260,2022-11-04 08:22:57.640,2022-11-04 08:01:12.000,2022-11-04 08:01:15.680
22,23,2022-11-04 08:24:07.390,2022-11-04 08:27:01.870,2022-11-04 08:24:08.080,2022-11-04 08:27:04.490,2022-11-04 08:24:11.070,2022-11-04 08:27:05.880,2022-11-04 08:24:11.070,2022-11-04 08:27:06.130,2022-11-04 08:09:38.380,2022-11-04 08:12:38.280,2022-11-04 08:28:20.500,2022-11-04 08:28:32.640,2022-11-04 08:25:42.550,2022-11-04 08:26:07.910,2022-11-04 08:04:21.580,2022-11-04 08:04:25.890
23,24,2022-11-04 08:27:15.140,2022-11-04 08:30:12.910,2022-11-04 08:27:15.600,2022-11-04 08:30:13.220,2022-11-04 08:27:18.610,2022-11-04 08:30:16.750,2022-11-04 08:27:18.610,2022-11-04 08:30:16.750,2022-11-04 08:12:45.690,2022-11-04 08:15:40.990,2022-11-04 08:31:29.030,2022-11-04 08:31:40.970,2022-11-04 08:28:48.810,2022-11-04 08:29:13.260,2022-11-04 08:09:41.720,2022-11-04 08:09:44.990
24,25,2022-11-04 08:38:07.350,2022-11-04 08:41:08.530,2022-11-04 08:38:10.410,2022-11-04 08:41:11.120,2022-11-04 08:38:11.400,2022-11-04 08:41:12.530,2022-11-04 08:38:11.940,2022-11-04 08:41:13.120,2022-11-04 08:15:51.940,2022-11-04 08:18:49.290,2022-11-04 08:42:27.360,2022-11-04 08:42:39.720,2022-11-04 08:31:57.580,2022-11-04 08:32:20.690,2022-11-04 08:12:59.530,2022-11-04 08:12:59.610
25,26,2022-11-04 08:41:28.750,2022-11-04 08:44:29.990,2022-11-04 08:41:33.080,2022-11-04 08:44:31.810,2022-11-04 08:41:37.220,2022-11-04 08:44:34.330,2022-11-04 08:41:37.220,2022-11-04 08:44:34.330,2022-11-04 08:18:57.760,2022-11-04 08:21:56.400,2022-11-04 08:45:46.760,2022-11-04 08:45:58.810,2022-11-04 08:42:58.170,2022-11-04 08:43:21.830,2022-11-04 08:12:59.960,2022-11-04 08:13:03.680
26,27,2022-11-04 08:45:08.180,2022-11-04 08:48:10.140,2022-11-04 08:45:09.430,2022-11-04 08:48:09.370,2022-11-04 08:45:12.010,2022-11-04 08:48:10.600,2022-11-04 08:45:12.010,2022-11-04 08:48:11.180,2022-11-04 08:22:05.700,2022-11-04 08:25:06.820,2022-11-04 08:49:26.080,2022-11-04 08:49:38.520,2022-11-04 08:46:15.780,2022-11-04 08:46:38.820,2022-11-04 08:16:03.020,2022-11-04 08:16:06.900
27,28,2022-11-04 08:48:14.570,2022-11-04 08:51:18.060,2022-11-04 08:48:17.310,2022-11-04 08:51:20.800,2022-11-04 08:48:18.780,2022-11-04 08:51:21.950,2022-11-04 08:48:18.950,2022-11-04 08:51:22.420,2022-11-04 08:25:15.530,2022-11-04 08:28:11.930,2022-11-04 08:52:36.720,2022-11-04 08:52:48.850,2022-11-04 08:49:54.480,2022-11-04 08:50:18.090,2022-11-04 08:22:18.620,2022-11-04 08:22:22.250
28,29,,,,,,,,,2022-11-04 08:28:23.030,2022-11-04 08:31:20.110,,,,,2022-11-04 08:25:28.330,2022-11-04 08:25:32.560
29,30,,,,,,,,,2022-11-04 08:39:17.190,2022-11-04 08:42:18.690,,,,,2022-11-04 08:28:34.100,2022-11-04 08:28:37.680
30,31,,,,,,,,,2022-11-04 08:42:38.840,2022-11-04 08:45:39.260,,,,,2022-11-04 08:31:42.380,2022-11-04 08:31:46.140
31,32,,,,,,,,,2022-11-04 08:46:17.030,2022-11-04 08:49:19.840,,,,,2022-11-04 08:42:41.360,2022-11-04 08:42:41.420
32,33,,,,,,,,,2022-11-04 08:49:24.570,2022-11-04 08:52:28.660,,,,,2022-11-04 08:42:41.450,2022-11-04 08:42:45.240
33,34,,,,,,,,,,,,,,,2022-11-04 08:46:00.140,2022-11-04 08:46:00.270
34,35,,,,,,,,,,,,,,,2022-11-04 08:46:00.310,2022-11-04 08:46:04.050
35,36,,,,,,,,,,,,,,,2022-11-04 08:49:41.940,2022-11-04 08:49:43.730
36,37,,,,,,,,,,,,,,,2022-11-04 08:52:48.320,2022-11-04 08:52:52.030
37,38,,,,,,,,,,,,,,,2022-11-04 08:52:52.050,2022-11-04 08:52:52.090
38,39,,,,,,,,,,,,,,,,
39,40,,,,,,,,,,,,,,,,
40,41,,,,,,,,,,,,,,,,
41,42,,,,,,,,,,,,,,,,
42,43,,,,,,,,,,,,,,,,
43,44,,,,,,,,,,,,,,,,
44,45,,,,,,,,,,,,,,,,
45,46,,,,,,,,,,,,,,,,
46,47,,,,,,,,,,,,,,,,
47,48,,,,,,,,,,,,,,,,
48,49,,,,,,,,,,,,,,,,
49,50,,,,,,,,,,,,,,,,
50,51,,,,,,,,,,,,,,,,
51,52,,,,,,,,,,,,,,,,
52,53,,,,,,,,,,,,,,,,
53,54,,,,,,,,,,,,,,,,
54,55,,,,,,,,,,,,,,,,
55,56,,,,,,,,,,,,,,,,
56,57,,,,,,,,,,,,,,,,
57,58,,,,,,,,,,,,,,,,
58,59,,,,,,,,,,,,,,,,
59,60,,,,,,,,,,,,,,,,
60,61,,,,,,,,,,,,,,,,
61,62,,,,,,,,,,,,,,,,
62,63,,,,,,,,,,,,,,,,
63,64,,,,,,,,,,,,,,,,
64,65,,,,,,,,,,,,,,,,
65,66,,,,,,,,,,,,,,,,
66,67,,,,,,,,,,,,,,,,
67,68,,,,,,,,,,,,,,,,
68,69,,,,,,,,,,,,,,,,
69,70,,,,,,,,,,,,,,,,
70,71,,,,,,,,,,,,,,,,
71,72,,,,,,,,,,,,,,,,
72,73,,,,,,,,,,,,,,,,
73,74,,,,,,,,,,,,,,,,
74,75,,,,,,,,,,,,,,,,
75,76,,,,,,,,,,,,,,,,
76,77,,,,,,,,,,,,,,,,
77,78,,,,,,,,,,,,,,,,
78,79,,,,,,,,,,,,,,,,
79,80,,,,,,,,,,,,,,,,
80,81,,,,,,,,,,,,,,,,
81,82,,,,,,,,,,,,,,,,
82,83,,,,,,,,,,,,,,,,
83,84,,,,,,,,,,,,,,,,
84,85,,,,,,,,,,,,,,,,
85,86,,,,,,,,,,,,,,,,
86,87,,,,,,,,,,,,,,,,
87,88,,,,,,,,,,,,,,,,
88,89,,,,,,,,,,,,,,,,
89,90,,,,,,,,,,,,,,,,
90,91,,,,,,,,,,,,,,,,
91,92,,,,,,,,,,,,,,,,
92,93,,,,,,,,,,,,,,,,
93,94,,,,,,,,,,,,,,,,
94,95,,,,,,,,,,,,,,,,
95,96,,,,,,,,,,,,,,,,
96,97,,,,,,,,,,,,,,,,
97,98,,,,,,,,,,,,,,,,
98,99,,,,,,,,,,,,,,,,
99,100,,,,,,,,,,,,,,,,
100,101,,,,,,,,,,,,,,,,
101,102,,,,,,,,,,,,,,,,
102,103,,,,,,,,,,,,,,,,
103,104,,,,,,,,,,,,,,,,
104,105,,,,,,,,,,,,,,,,
105,106,,,,,,,,,,,,,,,,
106,107,,,,,,,,,,,,,,,,
107,108,,,,,,,,,,,,,,,,
108,109,,,,,,,,,,,,,,,,
109,110,,,,,,,,,,,,,,,,
110,111,,,,,,,,,,,,,,,,
111,112,,,,,,,,,,,,,,,,
112,113,,,,,,,,,,,,,,,,
113,114,,,,,,,,,,,,,,,,
114,115,,,,,,,,,,,,,,,,
115,116,,,,,,,,,,,,,,,,
116,117,,,,,,,,,,,,,,,,
117,118,,,,,,,,,,,,,,,,
118,119,,,,,,,,,,,,,,,,
119,120,,,,,,,,,,,,,,,,
120,121,,,,,,,,,,,,,,,,
121,122,,,,,,,,,,,,,,,,
122,123,,,,,,,,,,,,,,,,
123,124,,,,,,,,,,,,,,,,
124,125,,,,,,,,,,,,,,,,
125,126,,,,,,,,,,,,,,,,
126,127,,,,,,,,,,,,,,,,
127,128,,,,,,,,,,,,,,,,
128,129,,,,,,,,,,,,,,,,
129,130,,,,,,,,,,,,,,,,
130,131,,,,,,,,,,,,,,,,
131,132,,,,,,,,,,,,,,,,
132,133,,,,,,,,,,,,,,,,
133,134,,,,,,,,,,,,,,,,
134,135,,,,,,,,,,,,,,,,
135,136,,,,,,,,,,,,,,,,
136,137,,,,,,,,,,,,,,,,
137,138,,,,,,,,,,,,,,,,
138,139,,,,,,,,,,,,,,,,
139,140,,,,,,,,,,,,,,,,
140,141,,,,,,,,,,,,,,,,
141,142,,,,,,,,,,,,,,,,
142,143,,,,,,,,,,,,,,,,
143,144,,,,,,,,,,,,,,,,
144,145,,,,,,,,,,,,,,,,
145,146,,,,,,,,,,,,,,,,
146,147,,,,,,,,,,,,,,,,
147,148,,,,,,,,,,,,,,,,
148,149,,,,,,,,,,,,,,,,
149,150,,,,,,,,,,,,,,,,
150,151,,,,,,,,,,,,,,,,
151,152,,,,,,,,,,,,,,,,
152,153,,,,,,,,,,,,,,,,
153,154,,,,,,,,,,,,,,,,
154,155,,,,,,,,,,,,,,,,
155,156,,,,,,,,,,,,,,,,
156,157,,,,,,,,,,,,,,,,
157,158,,,,,,,,,,,,,,,,
158,159,,,,,,,,,,,,,,,,
159,160,,,,,,,,,,,,,,,,
160,161,,,,,,,,,,,,,,,,
161,162,,,,,,,,,,,,,,,,
162,163,,,,,,,,,,,,,,,,
163,164,,,,,,,,,,,,,,,,
164,165,,,,,,,,,,,,,,,,
165,166,,,,,,,,,,,,,,,,
166,167,,,,,,,,,,,,,,,,
167,168,,,,,,,,,,,,,,,,
168,169,,,,,,,,,,,,,,,,
169,170,,,,,,,,,,,,,,,,
170,171,,,,,,,,,,,,,,,,
171,172,,,,,,,,,,,,,,,,
172,173,,,,,,,,,,,,,,,,
173,174,,,,,,,,,,,,,,,,
174,175,,,,,,,,,,,,,,,,
175,176,,,,,,,,,,,,,,,,
176,177,,,,,,,,,,,,,,,,
177,178,,,,,,,,,,,,,,,,
178,179,,,,,,,,,,,,,,,,
179,180,,,,,,,,,,,,,,,,
180,181,,,,,,,,,,,,,,,,
181,182,,,,,,,,,,,,,,,,
182,183,,,,,,,,,,,,,,,,
183,184,,,,,,,,,,,,,,,,
184,185,,,,,,,,,,,,,,,,
185,186,,,,,,,,,,,,,,,,
186,187,,,,,,,,,,,,,,,,
187,188,,,,,,,,,,,,,,,,
188,189,,,,,,,,,,,,,,,,
189,190,,,,,,,,,,,,,,,,
190,191,,,,,,,,,,,,,,,,
191,192,,,,,,,,,,,,,,,,
192,193,,,,,,,,,,,,,,,,
193,194,,,,,,,,,,,,,,,,
194,195,,,,,,,,,,,,,,,,
195,196,,,,,,,,,,,,,,,,
196,197,,,,,,,,,,,,,,,,
197,198,,,,,,,,,,,,,,,,
198,199,,,,,,,,,,,,,,,,
199,200,,,,,,,,,,,,,,,,
200,201,,,,,,,,,,,,,,,,
201,202,,,,,,,,,,,,,,,,
202,203,,,,,,,,,,,,,,,,
203,204,,,,,,,,,,,,,,,,
204,205,,,,,,,,,,,,,,,,
205,206,,,,,,,,,,,,,,,,
206,207,,,,,,,,,,,,,,,,
207,208,,,,,,,,,,,,,,,,
208,209,,,,,,,,,,,,,,,,
209,210,,,,,,,,,,,,,,,,
210,211,,,,,,,,,,,,,,,,
211,212,,,,,,,,,,,,,,,,
212,213,,,,,,,,,,,,,,,,
213,214,,,,,,,,,,,,,,,,
214,215,,,,,,,,,,,,,,,,
215,216,,,,,,,,,,,,,,,,
216,217,,,,,,,,,,,,,,,,
217,218,,,,,,,,,,,,,,,,
218,219,,,,,,,,,,,,,,,,
219,220,,,,,,,,,,,,,,,,
220,221,,,,,,,,,,,,,,,,
221,222,,,,,,,,,,,,,,,,
222,223,,,,,,,,,,,,,,,,
223,224,,,,,,,,,,,,,,,,
224,225,,,,,,,,,,,,,,,,
225,226,,,,,,,,,,,,,,,,
226,227,,,,,,,,,,,,,,,,
227,228,,,,,,,,,,,,,,,,
228,229,,,,,,,,,,,,,,,,
229,230,,,,,,,,,,,,,,,,
230,231,,,,,,,,,,,,,,,,
231,232,,,,,,,,,,,,,,,,
232,233,,,,,,,,,,,,,,,,
233,234,,,,,,,,,,,,,,,,
234,235,,,,,,,,,,,,,,,,
235,236,,,,,,,,,,,,,,,,
236,237,,,,,,,,,,,,,,,,
237,238,,,,,,,,,,,,,,,,
238,239,,,,,,,,,,,,,,,,
239,240,,,,,,,,,,,,,,,,
240,241,,,,,,,,,,,,,,,,
